Coluna1,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
fvZU4O7Ze432cIEtxu5oiQ==,2/2/2023,Sólides Tecnologia,ANALISTA DE DADOS PLENO,"Belo Horizonte, Minas Gerais, Brazil","Somos a Sólides, a maior HRTech do Brasil para PME's, única plataforma all in one para RH's! Aqui somos especialistas em Pessoas, nos importamos de verdade com o ser humano, e cada um é livre para SER.Nós multiplicamos o saber e deixamos nossa marca em tudo o que fazemos, isso porque somos Corajosos para ser Diferentes.

Não existe desafio grande demais que nosso time não encare porque somos Fortes para Alcançar Resultados Extraordinários.Respiramos a excelência no atendimento, somos Apaixonados pelos clientes.

Temos a Plataforma MAIS completa de Gestão de Pessoas com base Comportamental e People Analytics do Brasil. Oferecemos um ambiente descontraído, diverso, recheado de treinamento e desenvolvimento, profissional e pessoal!Cuidamos muito dos nossos colaboradores e por isso temos reconhecimentos muito legais. Entre eles o GPTW, Top of Mind RH 2021, Top 10 das '100 Startups Mais Atraentes de 2020', e vários outros. A Sólides transforma a Gestão de Pessoas em mais de 10 mil empresas em todo o Brasil, temos mais de 3 milhões de vidas ativas aqui.

Temos um time muito unido em nossa missão de transformar as empresas por meio das pessoas. Quer ingressar em uma jornada de evolução, crescimento, execução intensa e foco no resultado? Vem que a Sólides é o seu lugar.

Nossa missão é transformar as empresas por meio das pessoas, e procuramos um Analista de Dados Pleno para nos ajudar nesta missão realizando analises dados quantitativos e organizar dados, transformando-os em informações relevantes que embasarão o processo de tomada de decisão.

Suas principais atividades serão:

Extrair bases de dados e padronizar informações, organizando o banco de dados.
Construir queries e modelos de dados para apresentações e relatórios dos estudos realizados em Power BI e outras ferramentas de BI.
Realizar levantamento de requisitos e mapeamento de processos para organização dos dados;
Participar de reuniões gerenciais para apresentação de relatórios.
Executar a pesquisa de satisfação de atendimento das demandas, bem como mineração, documentação e definições de dados;
Ser responsável por propor e implementar ferramentas para o uso interno da área de dados, visando aumentar a maturidade e agilidade de desenvolvimento do time.
Ajudar no gerenciamento de projetos internos do time de Análise de Dados.
Oferecer suporte às demandas de extração de dados e visualizações de dados.

Para esta posição, esperamos que você tenha:

Experiência com bancos de dados relacionais;
Domínio da linguagem SQL;
Dominio de alguma ferramenta de BI (Power BI, Data Studio, etc);
Conhecimento em ferramentas de extração de dados;
Conhecimeno de Python;
Boas práticas em documentação e analise de requisitos;

Será um diferencial se você tiver:

Versionamento de código (git);
Conhecimento em cloud AWS (Athena, S3, RDS);
Conhecimento em metodologias ágeis;
Experiência em extrações de dados de API.

E se você ainda tem alguma dúvida se a Sólides é um bom lugar para se trabalhar, olha só quais são os benefícios de ser um(a) Solidiano(a):

Vale Alimentação/Vale Refeição no valor de R$ 37,00/dia útil (Cartão Ifood);
Vale transporte ou Vale combustível;
Plano de Saúde da Unimed no formato de coparticipação, sem mensalidade;
Plano Odontológico OdontoPrev, mensalidade fixa de R$17,41;
Terapia: Parceria com Psicologia Viva - 3 sessões gratuitas por mês;
Cursos Online que vão da Gastronomia a Pós Graduação (Qualifica);
Acesso a todos os cursos da Universidade Sólides;
Auxílio Home Office no valor de R$60,00 (cartão)
Day off no mês do aniversário;
Gympass;
Dress Code Super Flexível.

E aí, topa?!

Vem ser um Solidiano! Tem um time incrível te esperando =)",Entry level,Full-time,Information Technology,IT Services and IT Consulting,https://br.linkedin.com/jobs/view/analista-de-dados-pleno-at-s%C3%B3lides-tecnologia-3460321690?refId=PKRy4bwMgW1GOl8WXAJAkQ%3D%3D&trackingId=fvZU4O7Ze432cIEtxu5oiQ%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card
93bThYOa+bBiCa0uaKwf2A==,2/2/2023,ISA,Analista de BI Jr.,"São Paulo, São Paulo, Brazil","DESCRIÇÃO

Caro(a) candidato(a), para essa posição você terá o desafio de consolidar dados de diversas áreas da empresa através de relatórios e dashboards, ao mesmo tempo que administra os stakeholders. Também auxiliará a automatizar a coleta de dados de processos realizados por outros times, cumprir rotinas de envios de relatórios à diretoria e auxiliar na confecção de slides para reuniões de resultados da empresa.

Missão
Fornecer dados precisos para a liderança;
Contribuir com análises de dados relevantes;
Ser guardião dos dados tratados dentro da área de BI;
Democratizar o acesso aos dados de qualidade e difundir uma cultura data driven dentro de uma empresa em estágio inicial de análises de dados.
Requisitos
Desejável superior completo/ em andamento em Administração, Engenharia ou áreas relacionadas a tecnologia;
Desejável residir na região de SP, pois o modelo de trabalho será híbrido.
Experiência prévia em apresentações em slides, mesmo que em nível acadêmico;
Ter trabalhado profissionalmente com planilhas de Excel e/ou planilhas Google, mesmo que somente em estágio.
Habilidades Técnicas
Conhecimento em Excel, nível intermediário/avançado (haverá teste);
Conhecimento em SQL:
Mínimo: entendimento de lógica de programação e interesse em aprender;

Desejável: conhecimento básico em SQL.
Ferramentas de DataViz (Power BI, Tableau, Data Studi, etc.):
Mínimo: não há;

Desejável: conhecimento básico.
Local de trabalho: São Paulo, SP
Regime de contratação de tipo: Efetivo – CLT
Jornada: Período Integral
Área e especialização profissional: Administração - Administração Geral
Nível hierárquico: Analista
REQUISITOS

Escolaridade Mínima: Ensino Superior

Formação Desejada
Administração de empresas, Ensino Superior
Ciências da computação, Ensino Superior
Engenharia da computação, Ensino Superior
Matemática, Ensino Superior
HABILIDADES
Habilidades de lidar com coordenadores, gerentes e diretores;
Capacidade de gerenciar demandas de stakeholders diversos;
Boa comunicação oral e escrita;
Prezar por qualidade e excelência nas entregas da área.
BENEFÍCIOS
Vale-alimentação
Gympass
Assistência médica
Parceria com o SESC
Auxílio home office
Auxílio creche
Assistência odontológica
Auxílio mobilidade
Seguro de vida",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care,https://br.linkedin.com/jobs/view/analista-de-bi-jr-at-isa-3466090624?refId=PKRy4bwMgW1GOl8WXAJAkQ%3D%3D&trackingId=93bThYOa%2BbBiCa0uaKwf2A%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card
ntziUn0+S5PrpJkVMSVWuQ==,1/31/2023,Coodesh,Data Analyst,"São Paulo, São Paulo, Brazil","Buscamos Data Analyst

Skills: API, ETL, PostgreSQL, Banco de dados relacionais (SQL).

?? Requisitos
Experiência em escrever scripts de validação para validar os dados, integrações de dados e transformações ETL;
Conhecimento avançado em Modelagem de Dados Relacional e Multidimensional e técnica de segmentação;
Conhecimento em ferramentas de ETL, preferencialmente Pentaho Data Integration;
Sólida experiência em escrita de SQLs;
Conhecimento de SQL e habilidades de análise de dados para detecção de anomalias de dados e garantia de qualidade de dados.
?? Diferenciais
AWS;
Conhecimento Pentaho.
?? Características
Nível: Pleno / Sênior
Formato: 100% Remoto
Faixa Salarial: R$ 8.000,00 - R$ 12.000,00
Formato: Full-Time
Tipo: PJ
Vaga publicada na plataforma da Coodesh, fique atento ao redirecionamento que vai te levar para uma url coodesh.com com o pop-up personalizado de candidatura. ??",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,https://br.linkedin.com/jobs/view/data-analyst-at-coodesh-3461312326?refId=PKRy4bwMgW1GOl8WXAJAkQ%3D%3D&trackingId=ntziUn0%2BS5PrpJkVMSVWuQ%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card
TiWW+IizHV4/YAU8zYHU2g==,12/2/2022,Performa Web: Agência de Marketing Digital,Analista de BI Jr,"São Paulo, São Paulo, Brazil","Quer trabalhar em uma agência de Marketing Digital, exercendo atividades de Analista de BI Junior para contas de grandes nomes no Mercado? Venha para a Performa Web: Agência de Marketing Digital!

Somos uma agência de marketing digital full service especializada em mídia digital, consultoria estratégica, dados e tecnologia, acreditamos que ao trabalhar com um time diverso e inclusivo, somos capazes de muito mais.

Atendemos clientes como: Nike, Costa do Sauípe, New Balance, Movida, Kipling, Diesel e muitos outros.

A pessoa que ocupar a posição de Analista de BI irá auxiliar na manutenção diária e desenvolvimento dos reports em Excel, Power Point e Data Studio, cuidando do acompanhamento das rotinas de atualização, organização, compartilhamento de reports e validação dos números no Google analytics e Bases de Dados. Bem como configurações simples no Analytics possibilitando uma coleta completa e precisa dos dados que serão reportados.

Responsabilidades e atribuições

Nesta posição, você vai:
Atualizar e automatizar relatórios em Excel, Power Point e Data Studio;
Analisar de relatórios para alerta de falhas na captura de dados;
Buscar números no Google Analytics, Bases de dados e diferentes ferramentas de mídia.
Configurar métricas básicas no Google Analytics;
Organizar de agenda de entregas de relatórios;
Validar números no Google Analytics.

Requisitos e qualificações

Você precisa ter:
Cursando pelo menos o 2º anos de faculdade de Administração, Marketing, Comunicação, Engenharia ou Matemática.
Pacote Office intermediário;
Conhecimento básico em Google Analytics.

Diferencial:
Inglês.

Informações adicionais

Benefícios:

Além de entrar para uma das maiores Agência de Marketing Digital Full Service você também encontra aqui:

?? Modelo de trabalho Híbrido (2 dias na empresa e 3 dias remoto);

?? Vale Refeição R$36,00 por dia pelo Ifood Benefícios;

?? Plano Odontológico da Porto Seguro (100% pago pelo Performer);

?? Plano de saúde da Allianz (100% pago pela PW);

??? Auxílio Home Office no valor de R$100,00;

?? Vale transporte;

?? Day Off no dia do aniversário;

? Banco de Horas;

?? Seguro de Vida da Prudential;

?? Parceria com instituições de ensino;

?? Parcerias de Lazer e Entretenimento.

Só vem!",Not Applicable,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,https://br.linkedin.com/jobs/view/analista-de-bi-jr-at-performa-web-ag%C3%AAncia-de-marketing-digital-3416462025?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=TiWW%2BIizHV4%2FYAU8zYHU2g%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card
2jRoE6ptO1GujVFzSEEYJg==,12/17/2022,Proxis,Analista de Dados - KS,"São Paulo, São Paulo, Brazil","Estamos contratando novas posições para Analista de Dados, por isso estamos divulgando este banco de talentos onde você se inscreverá apenas uma vez e poderá pleitear todas as nossas vagas da posição, pois faremos o recrutamento exclusivamente por este banco! Os interessados poderão contatar a área de talentos humanos da Késsem pelo e-mail: th@kessem.com.br.

A Késsem Data Science, empresa com foco na implementação de soluções Big Data, Data Analytics e Databases, está procurando profissionais de TI que possam contribuir em uma ou mais destas áreas. O profissional deverá ter uma forte tendência para trabalhar com dados.

O profissional terá um período de adaptação onde suas aptidões serão avaliadas e depois será direcionado para uma ou mais áreas:

Big Data (implementação de soluções de Big Data na nuvem utilizando soluções do Azure Databricks, Delta Lake, Elastic Stack e outras)
BI (implementação de ferramentas de Data Visualization, incluindo a definição, criação e manutenção de dashboards e relatórios)
Administração de Dados (modelagem, transformação, carga e consultas aos dados)

Durante e após o período de adaptação, o profissional será mentorado por um profissional com mais de 40 anos de experiência na área de TI, mais especificamente na área de dados.

As competências e características necessárias:

Inglês técnico para leitura é obrigatório;
Experiência corporativa anterior não é obrigatória, mas pode ser um diferencial;
Pode estar cursando faculdade (na preferência quem está nos últimos trimestres);
O trabalho poderá ser na sua maioria na modalidade home office (um dia por semana presencial é necessário na cidade de São Paulo);
Regime de contratação e remuneração a combinar.",Not Applicable,Full-time,Information Technology,Consumer Services,https://br.linkedin.com/jobs/view/analista-de-dados-ks-at-proxis-3434367938?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=2jRoE6ptO1GujVFzSEEYJg%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card
1uVjRRd3q2xtsI/TDjbZYA==,2/6/2023,Algar Tech,Analista de Dados,Greater São Paulo Area,"Atuará nas atividades internas e demais funções pertinentes ao cargo. Necessário Conhecimento na área de atuação.

Beneficios

Formação Acadêmica:

Não informado

Experiência

Salário:

A combinar

Cargo

Programador

Empresa

Algar Tech

Desenvolvimento de sistemas.

Ramo

Informática/ Tecnologia",Entry level,Full-time,Information Technology,Internet Publishing,https://br.linkedin.com/jobs/view/analista-de-dados-at-algar-tech-3472469053?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=1uVjRRd3q2xtsI%2FTDjbZYA%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card
QTIO+SsU738EM+5NDJ1wew==,11/9/2022,2RP Net,Analista de Dados,"São Paulo, São Paulo, Brazil","Quem somos?

A 2RP Net é uma empresa brasileira que possui mais de 20 anos de mercado, sendo mais de 15 com análise de informações no mercado financeiro.

Atuamos com análise de dados com apoio de IA para aprimorar a experiência dos nossos clientes, exemplo disto é a análise preventiva em tempo real com análise de mais de 1,4 bilhões anuais de transações de cartões do mercado brasileiro de diversos clientes e seus parceiros de negócio.

Quem buscamos?

Estamos à procura de um profissional Analista de Dados comprometido e dedicado, para atuar em desde entendimento de Business, Análise de Dados, automação e melhoria de processos.

Alguém que traga novas ideias e contribua com o aprendizado, disseminando seu conhecimento por toda a companhia e que colabore com a evolução da 2RP Net de maneira continua para que ela se torne cada dia mais e mais uma referência no mercado tecnológico.

Responsabilidades e atribuições

Como pessoa Analista de Dados, você poderá:
Desenvolver processos de Análise de Dados como:
Entendimento de regras de negócios
Entendimento dos dados através de análises exploratórias dando suporte às áreas necessárias
Trabalhar próximo a equipe de Data Engineering para ajudar na composição e preparação dos dados a serem explorados
Atuar com desenvolvimento de análises de dados utilizando plataformas Clouds (GCP, AWS, Azure) e BigData (Hadoop/Spark)
Oportunidade de criar um impacto direto na companhia como um todo, utilizando tecnologia de ponta e tendo liberdade para pesquisar e inovar, com o apoio de todos os membros da equipe
Colaborar com equipes multidisciplinares e ágil de Machine Learning Engineers, Data Engineers, Devops, FullStack Developers, Infra e outras frentes de TI

Requisitos e qualificações

Qualificações Básicas (e obrigatórias):
Comunicação clara e objetiva, afinal trabalhará diretamente com clientes (áreas de negócios)
Ter um perfil pró-ativo nas demandas, sendo necessário pesquisar e explorar os dados gerando hipóteses que possam responder as perguntas das áreas de negócios envolvidas
Ter habilidades de codificação em Python (ou R) - nível intermediário
SQL intermediário/avançado
Ter boas habilidades de manipulação de dados
Git básico/intermediário para versionamento de códigos

Diferenciais:
Experiência em matemática/estatística
Noções de Hadoop
Experiência com Spark
Manipulação de dados Pyspark (desejável)
Experiência com Data Visualization (conceitos de apresentação de dados, métricas e ferramentas como: Power BI, SuperSet ou Tableu)

Informações adicionais

Benefícios:
Seguro de Vida SOMPO
Assistência Médica Sul América e MedService
Convênio Odontológico Porto Seguro
Saúde Mental – Plataforma Moodar
Plataforma Alura/Udemy
Licença Paternidade – 15 dias
Auxílio Creche
Vale Refeição ou Vale Alimentação no cartão Caju
Horário Flexível / Home Office
Auxílio Home Office",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting,https://br.linkedin.com/jobs/view/analista-de-dados-at-2rp-net-3386479315?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=QTIO%2BSsU738EM%2B5NDJ1wew%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card
lGVvHC5v763p8jdRgYcHNA==,1/13/2023,Referência Seguros,Estágio em Analista de Dados,"Brasília, Federal District, Brazil","Vem construir a área de tecnologia do Grupo Referência

Somos o Referencia Internacional Corretora De Seguros, a melhor experiência em gestão de benefícios do Brasil.

Queremos ser uma empresa onde pessoas de todos os gêneros, raça, idade, orientação sexual e com deficiência escolham para se desenvolver, com diversidade em clientes, tecnologias, produtos, soluções e faremos isso com você!

Não queremos você apenas por achar que tem a nossa cara. Queremos ter um pouco da sua também!

O que esperamos de você?

Estamos buscando pessoas que queiram se desenvolver e aprender constantemente, compartilhando, colaborando, inovando e entregando valor para todos os nossos clientes.

Você irá contribuir para tornar a experiência de milhões de clientes mais incrível, ajudando diariamente com a extração e estruturação dos nossos bancos de dados! Buscamos pessoas talentosas; com paixão por resultados, que encaram desafios com simplicidade e que consigam trazer isso para o seu dia a dia gerando insights valiosos para os nossos produtos e negócios como um todo!

Como será o seu dia a dia?

Trabalhará com uma equipe integrada e multidisciplinar, na evolução de nossa plataforma de dados, entendendo necessidade, participando de desenho e implementação de soluções. Também ajudará os integrantes menos experientes do time; garantido a estabilidade de soluções de dados em produção. Servirá como um integrador entre áreas divulgando e conectando nas plataforma de engenharia a disciplina de dados.",Entry level,Full-time,Information Technology,Computer Networking Products,https://br.linkedin.com/jobs/view/est%C3%A1gio-em-analista-de-dados-at-refer%C3%AAncia-seguros-3467000108?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=lGVvHC5v763p8jdRgYcHNA%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
JOxj7B8UBk/JOs6YT/T0yQ==,1/31/2023,Yoctoo,Data Analyst | Data Catalog,Greater São Paulo Area,"Our client is Siemens Healthineers, a global Medical Technology company.
The Data Catalog DevOps Professional provides support for the product owner delivering various data catalog topics in the data governance and management area.

Our objective is to enable the owners, stewards and business stakeholders to organize, search, discover, steward, model, shop, trust and understand enterprise data and analytics to drive digitalization in the company.

TASKS AND RESPONSIBILITIES:

You will consult and create custom objects Informatica Axon and EDC solution
You will develop custom Rest API scripts and integration based on use case requirements and to integrate various kinds of systems and data objects and workflows
You will support to configure and maintain enterprise use case specific templates various data and analytical objects including data dictionary, data domains, business glossary, business datasets, rules, tagging, etc.
You will support operations capability enhancements of the Informatica Applications Enterprise Data Catalog (EDC) and Axon
You will automate and execute processes and interfaces e.g. to load metadata into the catalog (dictionaries, business glossaries, etc.)
You will establish and maintain custom metadata scanners
You will take care and maintain dataflow and integration between systems and services mainly Axon and EDC
You will be responsible test and release management
You will support in maintaining the platform on application level
You will support POCs for solutions to current topics or future opportunities
Coordination of tasks with internal services


QUALIFICATIONS AND EXPERIENCE:

You have proven ability in building RESTful API Integrations using Informatica Axon and EDC
You have very strong experience in development with script languages like Python, PowerShell, JavaScript, shell scripting etc. on different platforms
You have strong understanding across Cloud and infrastructure components (server, storage, network, data, and applications) to deliver data catalog integration in Cloud Infrastructure architectures and designs
You have experience working with various data sources structured, semi structured and unstructured e.g. (SQL and Oracle database, flat files (csv, delimited), Web API, XML, JSON
You have very good SQL skills. Solid understanding of relational databases, data models and business data; ability to write complex SQL queries against variety of data sources (OLTP, Data Warehouse)
You understand different business domains, data governance and data management concepts
You have good understanding of enterprise data landscapes and architectural building blocks and various data assets
You have good understanding of Windows, Linux, MS Office, Cloud infrastructures like Azure based Solutions

ATTRIBUTES AND SKILLS:

You are exactly the right person for this position if you combine data management knowledge with technical skills and strong communication skills and enjoy innovation initiatives
You can learn new technology and quickly adapt to technology changes
You will display excellent problem solving, analytical, communication, coordination and task management skills
You have good people skills and the ability to think in from overarching perspectives
You think in terms of targets, put customer value added first, and you like to work with others in a collaborative manner
Your business-fluent English enables you to collaborate and communicate with colleagues in an international environment",Mid-Senior level,Full-time,Analyst and Engineering,Wellness and Fitness Services and Hospitals and Health Care,https://br.linkedin.com/jobs/view/data-analyst-data-catalog-at-yoctoo-3456077663?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=JOxj7B8UBk%2FJOs6YT%2FT0yQ%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card
XzpeBVu0kcMw5KWdN//LtQ==,2/8/2023,Shopping Cidade,Analista de Inovação e Dados,"Belo Horizonte, Minas Gerais, Brazil","-Implementar e executar novos produtos digitais (Programas de relacionamento, Mkt Place, Cuponagem, Site, APP, Chatbot, Cuponagem digital, etc) -Apoio no orçamento e controle financeiro da área -CRM: implementar novos pontos de coleta de dados e estruturar campanhas de remarketing e conhecimento do consumidor -Analisar pesquisas de mercado e perfil de consumidor e propor soluções -Analisar pesquisas de NPS Lojista e consumidor -Formao em adm, marketing, engenharia, finanas, economia e afins -Desejvel experincia anterior com produtos digitais, oramentos e pesquisas",Entry level,Full-time,Product Management and Marketing,Office Administration,https://br.linkedin.com/jobs/view/analista-de-inova%C3%A7%C3%A3o-e-dados-at-shopping-cidade-3475318430?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=XzpeBVu0kcMw5KWdN%2F%2FLtQ%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card
zOfC1WpuzD8NMNhcwn7kUA==,1/14/2023,Infotec Brasil,Analista de Dados - Salvador/BA,"São Francisco do Conde, Bahia, Brazil","Realizar análise de dados no processo de suprimentos e compras desde a rquisição das compras até a chegada dos materiais.

Responsabilidades e atribuições
Acompanhar o cronograma de execução e entrega dos produtos, materiais e bens de acordo com os requisitos técnicos e de qualidade especificados no pedido;
Acompanhar todas as compras, desde a requisição até a chegada dos materiais (Químicos, Catalisadores e Gases);
Dar visibilidade do lead time de entrega dos bens e materiais a todos os stakeholders em todo o processo de fornecimento (origem&destino);
Garantir o cumprimento do SLA de atendimento e prazos de entrega acordados, baseado no pedido de compras;
Estabelecer planos de ação para mitigar impactos na operação da refinaria;
Abrir não conformidade de processo no módulo QM do SAP, quando necessário, para alimentar base de dados da área de Gestão da Qualidade, Risco eAuditorias em fornecimento;
Monitorar divergências fiscais e tributárias nas NF´s com foco em prevenir o atraso no pagamento junto a fornecedores e solucionar divergências;
Realizar o monitoramento de materiais, itens químicos, catalisadores e gases desde a colocação dos pedidos até a entrega;
Acompanhar e garantir as entregas dos produtos fornecidos dentro da qualidade estabelecida e prazos acordados;
Garantir o cumprimento do SLA de atendimento e prazos de entrega acordados, baseado no pedido de compras;
Implementar e monitorar KPIs do processo;
Atuar em parceria com a célula de gestão da qualidade, riscos e auditoria para mitigar a falha de processos na origem do fornecimento;
Análise estatística de dados (gráficos de controle e análise de tendência);
Melhoria contínua nos processos visando a excelência da área;
Elaboração e implementação de projetos operacionais da área;
Análise de dados.

Requisitos e qualificações

Formação:
Formação Superior em Engenharia de Software, Sistema da Informação ou áreas afins;

Experiência:
Desejável 3 anos de experiência na indústria do Oil&Gas.

Conhecimentos:
Conhecimento avançados nas ferramentas SAP, Power BI;
Excel avançado (macro, VBA e dashboards);
Sólidos conhecimentos no desenvolvimento e programação de APP´s;
Conhecimentos em ferramentas de qualidade e de melhoria de processos;
Desejável inglês intermediário.

Informações adicionais

Disponibilidade para atuar em São Francisco do Conde.",Not Applicable,Full-time,Information Technology,Consumer Services,https://br.linkedin.com/jobs/view/analista-de-dados-salvador-ba-at-infotec-brasil-3438858329?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=zOfC1WpuzD8NMNhcwn7kUA%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card
CCqPdzuOig4w6Ih8Ceq5IQ==,1/14/2023,ALUPAR,Analista de Dados,"São Paulo, São Paulo, Brazil","Experiência com desenvolvimento web, experiência em programação (phyton, dentre outros) Fazer coletas de dados via API de plataformas web,experiência em utilização de plataforma de nuvem (AWS,Azure,dentre outras), com análises, modelagens e treinamento de rede neurais e outras técnicas de inteligência artificial, realizar integração e pesquisa de informações e manutenção de banco de dados. Mapear, classificar e catalogar os dados como, por exemplo, os advindos de modelos metereológicos e das bases utilizadas no planejamento energético da área e examinar sistemas e processos com a finalidade de criar soluções e melhorar rotinas no processamento de informações da área, desenvolver scripts automatizados para extração de dados da área. Implementar rotinas periódicas de análises e realizar publicações dos resultados obtidos através de Relatórios Gerenciais. Certificar e monitorar qualidade dos dados utilizados. Local de Trabalho: Vila Olimpia / Regime: Hibrido/ Horário Flexível / Salário: Pretensão salarial Graduao como Bacharel (Engenharias, Fsica, Matemtica, Estatstica, Cincia da Computao, etc) Conhecimento em tecnologias para anlise de dados, domnio de linguagens de programao (phyton, VBA,dentre outros),Experincia em plataforma de nuvem.",Entry level,Full-time,Information Technology,"Electric Power Transmission, Control, and Distribution",https://br.linkedin.com/jobs/view/analista-de-dados-at-alupar-3475186304?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=CCqPdzuOig4w6Ih8Ceq5IQ%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card
dIlmD9IRLNXll3tHze5eCw==,12/17/2022,Looqbox,Analista de Dados Pleno (Python Developer - Remoto),"São Paulo, São Paulo, Brazil","No Looqbox desenvolvemos o Business Intelligence do futuro usando processamento de linguagem natural. Somos uma startup residente do Cubo, e estamos precisando do seu talento! Como Analista de Dados, você terá o desafio de desenvolver dashboards no Looqbox, para algumas das maiores empresas do Brasil.

Responsabilidades e atribuições

Principais atividades
Entender as demandas técnicas e o negócio dos clientes, para propor e encaminhar soluções;
Desenvolver relatórios customizados para os nossos clientes com as linguagens Python, e SQL a partir de especificações demandadas pelo cliente;
Documentar projetos desenvolvidos seguindo o padrão do Loooqbox;
Acompanhar o uso da ferramenta em cada projeto de modo a sugerir melhorias;
Acompanhar a saúde dos clientes por meio de indicadores;
Realizar pesquisa e troubleshooting para resolução de problemas;
Participar de reuniões com os clientes esporadicamente.

Requisitos e qualificações

Requisitos
Experiência com Python;
Experiência com SQL;
Conhecimento de boas práticas de programação, como: documentação do código e técnicas de refatoração de código;
Inglês intermediário;
Ter visão de negócio para entender os objetivos do cliente;
Ter senso crítico sobre o que é solicitado pelo cliente, para apontar riscos e alternativas.

Diferencial
Experiência como ponto focal de clientes;
Experiência em otimizar o código para performance;
Conhecimentos nos setores dos clientes que atendemos (ex: varejo/shopping).

Informações adicionais

Benefícios
Valor compatível ao mercado
Vale-Refeição - No cartão Caju
Plano de Saúde 100% coberto pela Looq e sem coparticipação
Plano Odontológico 100% coberto pela Looq e sem coparticipação
Gympass
Acesso irrestrito à livros
Autonomia e responsabilidade sobre os projetos
Trabalhar com um time da hora ;]



Estamos em crescimento, e não vão faltar oportunidades para você crescer com a gente!",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting,https://br.linkedin.com/jobs/view/analista-de-dados-pleno-python-developer-remoto-at-looqbox-3434867568?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=dIlmD9IRLNXll3tHze5eCw%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card
a4TiQgJRk7YV6XU2StQM3A==,2/3/2023,RVC Sociedade de Advogados,Analista de Dados,"São Paulo, São Paulo, Brazil","Descrição da vaga e responsabilidades:
Experiência com modelagem e análise de dados;
Experiência com ETL;
Experiência com metodologias ágeis;
Experiência em gestão de projetos;
Goste de desafios, de resolver problemas e tenha facilidade de aprendizado;
Queira se desenvolver e aprender constantemente;
Que encare desafios com simplicidade e que consigam trazer isso para o seu dia a dia;
Pró atividade em identificar e solucionar problemas;
Domínio em SQL.

Requisitos obrigatórios:
Conhecimento em Azure, Python, Alteryx, Pentaho, Power BI;
Experiência em gestão de projetos;
Ter trabalhado com análise de dados de Tax (impostos).",Entry level,Full-time,Information Technology,Law Practice,https://br.linkedin.com/jobs/view/analista-de-dados-at-rvc-sociedade-de-advogados-3464425081?refId=lYxWcxQ7z9a5Vt%2F%2F3gZVrA%3D%3D&trackingId=a4TiQgJRk7YV6XU2StQM3A%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card
